Sample Number (60 samples per second),Pv (l/m),duty (l/m),loopTime (ms)
758,0.39,255.0,83.0
759,0.39,255.0,90.0
760,0.39,255.0,90.0
761,0.39,255.0,90.0
762,0.39,255.0,90.0
763,0.39,255.0,100.0
764,0.39,255.0,90.0
765,0.39,255.0,90.0
766,0.39,255.0,90.0
767,0.38,255.0,90.0
768,0.38,255.0,90.0
769,0.38,255.0,83.0
770,0.38,255.0,100.0
771,0.38,255.0,90.0
772,0.38,255.0,90.0
773,0.38,255.0,90.0
774,0.38,255.0,90.0
775,0.38,255.0,90.0
776,0.37,255.0,83.0
777,0.37,255.0,100.0
778,0.37,255.0,83.0
779,0.37,255.0,90.0
780,0.37,255.0,90.0
781,0.37,255.0,100.0
782,0.37,255.0,90.0
783,0.37,255.0,83.0
784,0.37,255.0,100.0
785,0.37,255.0,83.0
786,0.36,255.0,90.0
787,0.36,255.0,83.0
788,0.36,255.0,100.0
789,0.36,255.0,90.0
790,0.36,255.0,90.0
791,0.36,255.0,100.0
792,0.36,255.0,90.0
793,0.36,255.0,90.0
794,0.36,255.0,83.0
795,0.36,255.0,100.0
796,0.35,255.0,83.0
797,0.35,255.0,90.0
798,0.35,255.0,100.0
799,0.35,255.0,90.0
800,0.35,255.0,90.0
801,0.35,255.0,83.0
802,0.35,255.0,100.0
803,0.35,255.0,83.0
804,0.35,255.0,90.0
805,0.35,255.0,90.0
806,0.34,255.0,90.0
807,0.34,255.0,90.0
808,0.34,255.0,90.0
809,0.34,255.0,100.0
810,0.34,255.0,83.0
811,0.34,255.0,90.0
812,0.34,255.0,90.0
813,0.34,255.0,90.0
814,0.34,255.0,83.0
815,0.34,255.0,90.0
816,0.34,255.0,100.0
817,0.33,255.0,90.0
818,0.33,255.0,90.0
819,0.33,255.0,83.0
820,0.33,255.0,90.0
821,0.33,255.0,83.0
822,0.33,255.0,90.0
823,0.33,255.0,100.0
824,0.33,255.0,90.0
825,0.33,255.0,90.0
826,0.33,255.0,90.0
827,0.33,255.0,90.0
828,0.33,255.0,83.0
829,0.32,255.0,90.0
