Sample Number (90 samples per second),fluxo (l/m),setPoint (l/m),duty (),Stability (),frequency ()
467,13.44,5.0,255.0,0.0,10.0
468,13.52,5.0,255.0,0.0,12.0
469,13.6,5.0,255.0,0.0,11.0
470,13.68,5.0,255.0,0.0,11.0
471,13.75,5.0,255.0,0.0,11.0
472,13.71,5.0,255.0,0.0,10.0
473,13.78,4.92,251.0,0.0,12.0
474,13.86,4.54,232.0,0.0,11.0
475,13.94,4.05,207.0,0.0,11.0
476,14.0,3.43,175.0,0.0,11.0
477,14.07,2.78,142.0,0.0,11.0
478,14.02,1.92,98.0,0.0,11.0
479,14.09,1.03,53.0,0.0,11.0
480,14.18,0.25,13.0,0.0,11.0
481,14.26,-0.38,19.0,0.0,11.0
482,14.21,-1.02,52.0,0.0,12.0
483,14.28,-1.75,89.0,0.0,10.0
484,14.34,-2.51,128.0,0.0,11.0
485,14.4,-3.2,163.0,0.0,12.0
486,14.46,-3.99,203.0,0.0,11.0
487,14.51,-4.67,238.0,0.0,12.0
488,14.57,-5.0,255.0,0.0,10.0
489,14.61,-5.0,255.0,0.0,11.0
490,14.56,-5.0,255.0,0.0,12.0
491,14.61,-5.0,255.0,0.0,11.0
492,14.66,-5.0,255.0,0.0,11.0
493,14.72,-5.0,255.0,0.0,10.0
494,14.76,-5.0,255.0,0.0,11.0
495,14.82,-5.0,255.0,0.0,12.0
496,14.87,-5.0,255.0,0.0,10.0
497,14.91,-5.0,255.0,0.0,11.0
498,14.97,-5.0,255.0,0.0,11.0
499,15.02,-5.0,255.0,0.0,11.0
500,15.07,-5.0,255.0,0.0,12.0
501,15.12,-5.0,255.0,0.0,10.0
502,15.05,-5.0,255.0,0.0,11.0
503,15.11,-5.0,255.0,0.0,11.0
504,15.15,-5.0,255.0,0.0,11.0
505,15.2,-5.0,255.0,0.0,12.0
506,15.24,-5.0,255.0,0.0,10.0
507,15.28,-5.0,255.0,0.0,11.0
508,15.33,-5.0,255.0,0.0,12.0
509,15.37,-5.0,255.0,0.0,11.0
510,15.41,-5.0,255.0,0.0,12.0
511,15.34,-5.0,255.0,0.0,10.0
512,15.38,-5.0,255.0,0.0,11.0
513,15.43,-5.0,255.0,0.0,12.0
514,15.47,-5.0,255.0,0.0,10.0
515,15.5,-5.0,255.0,0.0,11.0
516,15.55,-5.0,255.0,0.0,11.0
517,15.58,-5.0,255.0,0.0,11.0
518,15.52,-5.0,255.0,0.0,12.0
519,15.56,-5.0,255.0,0.0,10.0
520,15.59,-5.0,255.0,0.0,11.0
521,15.64,-5.0,255.0,0.0,11.0
522,15.68,-5.0,255.0,0.0,11.0
523,15.71,-5.0,255.0,0.0,12.0
524,15.75,-5.0,255.0,0.0,10.0
525,15.68,-5.0,255.0,0.0,11.0
526,15.72,-5.0,255.0,0.0,12.0
527,15.76,-5.0,255.0,0.0,11.0
528,15.79,-5.0,255.0,0.0,12.0
529,15.73,-5.0,255.0,0.0,10.0
530,15.75,-5.0,255.0,0.0,11.0
531,15.8,-5.0,255.0,0.0,12.0
532,15.83,-5.0,255.0,0.0,11.0
533,15.76,-5.0,255.0,0.0,11.0
534,15.81,-5.0,255.0,0.0,10.0
535,15.84,-5.0,255.0,0.0,11.0
536,15.88,-5.0,255.0,0.0,12.0
537,15.81,-5.0,255.0,0.0,10.0
538,15.84,-5.0,255.0,0.0,11.0
539,15.88,-5.0,255.0,0.0,11.0
540,15.92,-5.0,255.0,0.0,11.0
541,15.86,-5.0,255.0,0.0,12.0
542,15.89,-5.0,255.0,0.0,10.0
543,15.91,-5.0,255.0,0.0,11.0
544,15.96,-5.0,255.0,0.0,11.0
545,15.89,-5.0,255.0,0.0,11.0
546,15.92,-5.0,255.0,0.0,12.0
547,15.95,-5.0,255.0,0.0,10.0
548,15.89,-5.0,255.0,0.0,11.0
549,15.93,-5.0,255.0,0.0,12.0
550,15.86,-5.0,255.0,0.0,11.0
551,15.89,-5.0,255.0,0.0,12.0
552,15.93,-5.0,255.0,0.0,10.0
553,15.86,-5.0,255.0,0.0,11.0
554,15.9,-5.0,255.0,0.0,12.0
555,15.84,-5.0,255.0,0.0,11.0
556,15.86,-5.0,255.0,0.0,11.0
557,15.8,-5.0,255.0,0.0,10.0
558,15.83,-5.0,255.0,0.0,11.0
559,15.77,-5.0,255.0,0.0,12.0
560,15.81,-5.0,255.0,0.0,10.0
561,15.74,-5.0,255.0,0.0,11.0
562,15.78,-5.0,255.0,0.0,11.0
563,15.72,-5.0,255.0,0.0,11.0
564,15.76,-5.0,255.0,0.0,12.0
565,15.7,-5.0,255.0,0.0,10.0
566,15.73,-5.0,255.0,0.0,11.0
567,15.67,-5.0,255.0,0.0,11.0
568,15.7,-5.0,255.0,0.0,11.0
569,15.64,-5.0,255.0,0.0,12.0
570,15.68,-5.0,255.0,0.0,10.0
571,15.61,-5.0,255.0,0.0,11.0
572,15.66,-5.0,255.0,0.0,12.0
573,15.59,-5.0,255.0,0.0,11.0
574,15.53,-5.0,255.0,0.0,12.0
575,15.57,-5.0,255.0,0.0,10.0
576,15.5,-5.0,255.0,0.0,11.0
577,15.45,-5.0,255.0,0.0,12.0
578,15.49,-5.0,255.0,0.0,10.0
579,15.42,-5.0,255.0,0.0,11.0
580,15.37,-5.0,255.0,0.0,11.0
581,15.31,-5.0,255.0,0.0,11.0
582,15.35,-5.0,255.0,0.0,12.0
583,15.3,-5.0,255.0,0.0,10.0
584,15.23,-5.0,255.0,0.0,11.0
585,15.18,-5.0,255.0,0.0,11.0
586,15.13,-5.0,255.0,0.0,11.0
587,15.16,-5.0,255.0,0.0,12.0
588,15.11,-5.0,255.0,0.0,10.0
589,15.05,-5.0,255.0,0.0,11.0
590,15.0,-5.0,255.0,0.0,12.0
591,15.04,-5.0,255.0,0.0,11.0
592,14.98,-5.0,255.0,0.0,12.0
593,14.93,-5.0,255.0,0.0,10.0
594,14.87,-5.0,255.0,0.0,11.0
595,14.82,-5.0,255.0,0.0,12.0
596,14.86,-5.0,255.0,0.0,11.0
597,14.81,-5.0,255.0,0.0,11.0
598,14.76,-5.0,255.0,0.0,10.0
599,14.7,-5.0,255.0,0.0,11.0
600,14.65,-5.0,255.0,0.0,12.0
601,14.6,-5.0,255.0,0.0,10.0
602,14.55,-5.0,255.0,0.0,11.0
603,14.5,-5.0,255.0,0.0,11.0
604,14.45,-5.0,255.0,0.0,11.0
605,14.41,-5.0,255.0,0.0,12.0
606,14.36,-5.0,255.0,0.0,10.0
607,14.31,-5.0,255.0,0.0,11.0
608,14.26,-5.0,255.0,0.0,11.0
609,14.22,-5.0,255.0,0.0,11.0
